h,ffnh,numh,numl,lr,bs,ti,D,N,loss
1280,9048,10,13,0.00195,512,27132,28400000000,536872960,2.279823
1280,9048,10,13,0.00552,256,54264,28400000000,536872960,2.308605
1280,9048,10,13,0.00138,1024,13566,28400000000,536872960,2.29762
1280,9048,10,13,0.000488,352,39464,28400000000,536872960,2.283583
1280,9048,10,13,0.00276,128,108528,28400000000,536872960,2.208874
1280,9048,10,13,0.00138,128,108528,28400000000,536872960,2.201291
1280,9048,10,13,0.00276,192,72352,28400000000,536872960,2.237362
1280,9048,10,13,0.00138,64,217056,28400000000,536872960,2.174547
1280,9048,10,13,0.00781,352,69358,50000000000,536872960,2.274303
1280,9048,10,13,0.0111,512,47683,50000000000,536872960,2.285005
1280,9048,10,13,0.00552,1024,23841,50000000000,536872960,2.240055
1280,9048,10,13,0.00781,2048,11920,50000000000,536872960,2.299026
1280,9048,10,13,0.00391,256,95367,50000000000,536872960,2.228851
1280,9048,10,13,0.000691,192,127156,50000000000,536872960,2.23471
1280,9048,10,13,0.00552,128,190734,50000000000,536872960,2.269219
1280,9048,10,13,0.00781,128,190734,50000000000,536872960,2.30424
1280,9048,10,13,0.000977,352,69358,50000000000,536872960,2.236301
1280,9048,10,13,0.000345,192,127156,50000000000,536872960,2.247264
1280,9048,10,13,0.00138,128,190734,50000000000,536872960,2.228665
1280,9048,10,13,0.00195,32,762939,50000000000,536872960,2.34189
1280,9048,10,13,0.000977,1024,23841,50000000000,536872960,2.238229
1280,9048,10,13,0.000691,736,33171,50000000000,536872960,2.2547
1280,9048,10,13,0.00276,256,95367,50000000000,536872960,2.221061
1280,9048,10,13,0.00195,736,33171,50000000000,536872960,2.237603
1280,9048,10,13,0.000691,512,47683,50000000000,536872960,2.240693
1280,9048,10,13,0.00276,736,33171,50000000000,536872960,2.236917
1280,9048,10,13,0.00276,128,190734,50000000000,536872960,2.241517
1280,9048,10,13,0.00138,2048,11920,50000000000,536872960,2.271434
1280,9048,10,13,0.00138,512,47683,50000000000,536872960,2.228201
1280,9048,10,13,0.000977,736,33171,50000000000,536872960,2.245325
1280,9048,10,13,0.00781,736,33171,50000000000,536872960,2.27318
1280,9048,10,13,0.00195,192,127156,50000000000,536872960,2.230752
1280,9048,10,13,0.00552,2048,11920,50000000000,536872960,2.283276
1280,9048,10,13,0.00276,32,762939,50000000000,536872960,2.374731
1280,9048,10,13,0.00781,192,127156,50000000000,536872960,2.290062
1280,9048,10,13,0.00276,192,127156,50000000000,536872960,2.236539
1280,9048,10,13,0.00195,352,69358,50000000000,536872960,2.22742
1280,9048,10,13,0.00552,192,127156,50000000000,536872960,2.267162
1280,9048,10,13,0.00391,1024,23841,50000000000,536872960,2.234085
1280,9048,10,13,0.0156,192,127156,50000000000,536872960,6.868728
1280,9048,10,13,0.000345,352,69358,50000000000,536872960,2.260274
1280,9048,10,13,0.000488,352,69358,50000000000,536872960,2.250392
1280,9048,10,13,0.000691,2048,11920,50000000000,536872960,2.291626
1280,9048,10,13,0.0156,128,190734,50000000000,536872960,6.41845
1280,9048,10,13,0.000488,192,127156,50000000000,536872960,2.239073
1280,9048,10,13,0.0156,256,95367,50000000000,536872960,2.429903
1280,9048,10,13,0.000488,2048,11920,50000000000,536872960,2.301255
1280,9048,10,13,0.00195,64,381469,50000000000,536872960,2.357015
1280,9048,10,13,0.000488,736,33171,50000000000,536872960,2.263883
1280,9048,10,13,0.00276,1024,23841,50000000000,536872960,2.228575
1280,9048,10,13,0.00391,512,47683,50000000000,536872960,2.23064
1280,9048,10,13,0.0111,2048,11920,50000000000,536872960,6.76771
1280,9048,10,13,0.00552,32,762939,50000000000,536872960,2.460264
1280,9048,10,13,0.000977,64,381469,50000000000,536872960,2.337055
1280,9048,10,13,0.000345,256,95367,50000000000,536872960,2.245957
1280,9048,10,13,0.00781,256,95367,50000000000,536872960,2.270723
1280,9048,10,13,0.000345,736,33171,50000000000,536872960,2.276346
1280,9048,10,13,0.0111,32,762939,50000000000,536872960,2.468675
1280,9048,10,13,0.000691,64,381469,50000000000,536872960,2.331922
1280,9048,10,13,0.000977,512,47683,50000000000,536872960,2.235659
1280,9048,10,13,0.00138,32,762939,50000000000,536872960,2.32889
1280,9048,10,13,0.0156,2048,11920,50000000000,536872960,6.872736
1280,9048,10,13,0.000977,256,95367,50000000000,536872960,2.224002
1280,9048,10,13,0.00391,32,762939,50000000000,536872960,2.41197
1280,9048,10,13,0.000488,128,190734,50000000000,536872960,2.233788
1280,9048,10,13,0.00391,64,381469,50000000000,536872960,2.392147
1280,9048,10,13,0.000345,1024,23841,50000000000,536872960,2.270532
1280,9048,10,13,0.00391,352,69358,50000000000,536872960,2.23663
1280,9048,10,13,0.000488,1024,23841,50000000000,536872960,2.255446
1280,9048,10,13,0.000691,256,95367,50000000000,536872960,2.229174
1280,9048,10,13,0.000977,2048,11920,50000000000,536872960,2.278541
1280,9048,10,13,0.00138,736,33171,50000000000,536872960,2.238566
1280,9048,10,13,0.000691,128,190734,50000000000,536872960,2.228453
1280,9048,10,13,0.000345,512,47683,50000000000,536872960,2.264004
1280,9048,10,13,0.00391,192,127156,50000000000,536872960,2.243437
1280,9048,10,13,0.00138,192,127156,50000000000,536872960,2.229454
1280,9048,10,13,0.00781,64,381469,50000000000,536872960,2.468581
1280,9048,10,13,0.000345,32,762939,50000000000,536872960,2.292076
1280,9048,10,13,0.000488,512,47683,50000000000,536872960,2.25316
1280,9048,10,13,0.00552,352,69358,50000000000,536872960,2.250171
1280,9048,10,13,0.00276,512,47683,50000000000,536872960,2.224745
1280,9048,10,13,0.000691,352,69358,50000000000,536872960,2.24364
1280,9048,10,13,0.0156,512,47683,50000000000,536872960,2.499677
1280,9048,10,13,0.00195,1024,23841,50000000000,536872960,2.229222
1280,9048,10,13,0.00391,736,33171,50000000000,536872960,2.236434
1280,9048,10,13,0.0111,1024,23841,50000000000,536872960,7.106983
1280,9048,10,13,0.000977,128,190734,50000000000,536872960,2.22778
1280,9048,10,13,0.00276,352,69358,50000000000,536872960,2.226284
1280,9048,10,13,0.0111,352,69358,50000000000,536872960,2.353235
1280,9048,10,13,0.0111,64,381469,50000000000,536872960,2.558748
1280,9048,10,13,0.00781,1024,23841,50000000000,536872960,2.257736
1280,9048,10,13,0.0111,736,33171,50000000000,536872960,2.286203
1280,9048,10,13,0.00781,32,762939,50000000000,536872960,2.473049
1280,9048,10,13,0.00552,736,33171,50000000000,536872960,2.254265
1280,9048,10,13,0.0156,64,381469,50000000000,536872960,11.09227
1280,9048,10,13,0.00138,64,381469,50000000000,536872960,2.346557
1280,9048,10,13,0.00552,256,95367,50000000000,536872960,2.248163
1280,9048,10,13,0.000488,32,762939,50000000000,536872960,2.295886
1280,9048,10,13,0.000691,32,762939,50000000000,536872960,2.30087
1280,9048,10,13,0.00195,512,47683,50000000000,536872960,2.223174
1280,9048,10,13,0.0156,736,33171,50000000000,536872960,6.450153
1280,9048,10,13,0.00138,352,69358,50000000000,536872960,2.230272
1280,9048,10,13,0.00391,128,190734,50000000000,536872960,2.254279
1280,9048,10,13,0.000977,192,127156,50000000000,536872960,2.231324
1280,9048,10,13,0.00138,256,95367,50000000000,536872960,2.219124
1280,9048,10,13,0.0111,192,127156,50000000000,536872960,2.334436
1280,9048,10,13,0.000977,32,762939,50000000000,536872960,2.310913
1280,9048,10,13,0.000345,64,381469,50000000000,536872960,2.336362
1280,9048,10,13,0.00391,2048,11920,50000000000,536872960,2.282439
1280,9048,10,13,0.000345,128,190734,50000000000,536872960,2.238764
1280,9048,10,13,0.00552,512,47683,50000000000,536872960,2.240936
1280,9048,10,13,0.00195,2048,11920,50000000000,536872960,2.272242
1280,9048,10,13,0.0111,256,95367,50000000000,536872960,2.315142
1280,9048,10,13,0.000488,256,95367,50000000000,536872960,2.23774
1280,9048,10,13,0.00195,128,190734,50000000000,536872960,2.234125
1280,9048,10,13,0.00276,64,381469,50000000000,536872960,2.373051
1280,9048,10,13,0.00781,512,47683,50000000000,536872960,2.278939
1280,9048,10,13,0.00276,2048,11920,50000000000,536872960,2.2776
1280,9048,10,13,0.00138,1024,23841,50000000000,536872960,2.231808
1280,9048,10,13,0.0111,128,190734,50000000000,536872960,2.382172
1280,9048,10,13,0.0156,352,69358,50000000000,536872960,2.42011
1280,9048,10,13,0.000488,64,381469,50000000000,536872960,2.331914
1280,9048,10,13,0.000691,1024,23841,50000000000,536872960,2.247135
1280,9048,10,13,0.0156,1024,23841,50000000000,536872960,6.712214
1280,9048,10,13,0.00552,64,381469,50000000000,536872960,2.420634
1280,9048,10,13,0.000345,2048,11920,50000000000,536872960,2.319431
1280,9048,10,13,0.00195,256,95367,50000000000,536872960,2.220808
