topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,N,Na,M,kvcache,D,D/N,Na/N,loss,smooth loss
1,8,3528,3528,1408,3904,11,16,0.0004883,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.649556,2.6012353180509966
3,8,2888,8664,1408,3904,11,16,0.0004883,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.608462,2.564275427303632
1,89,352,352,1408,3904,11,16,0.0004883,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.595637,2.6650992125228354
2,88,352,704,1408,3904,11,16,0.0004883,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.561244,2.6284537890133444
1,8,3528,3528,1408,3904,11,16,0.0004883,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.521921,2.594612230698948
3,8,2888,8664,1408,3904,11,16,0.0004883,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.493612,2.565116188160053
1,89,352,352,1408,3904,11,16,0.0004883,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.665095,2.667979752675562
2,88,352,704,1408,3904,11,16,0.0004883,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.620516,2.626426132619202
1,8,3528,3528,1408,3904,11,16,0.0004883,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.584626,2.592948574537965
3,8,2888,8664,1408,3904,11,16,0.0004883,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.563516,2.5720766302710603
1,89,352,352,1408,3904,11,16,0.0004883,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.679755,2.6943567553229872
2,88,352,704,1408,3904,11,16,0.0004883,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.638025,2.65340998548883
1,8,3528,3528,1408,3904,11,16,0.0004883,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.60899,2.6214473776718514
3,8,2888,8664,1408,3904,11,16,0.0004883,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.593042,2.6063442345068686
1,89,352,352,1408,3904,11,16,0.0004883,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.759318,2.760972134233889
2,88,352,704,1408,3904,11,16,0.0004883,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.721344,2.7229517070407514
1,8,3528,3528,1408,3904,11,16,0.0004883,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.685108,2.685805919046171
3,8,2888,8664,1408,3904,11,16,0.0004883,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.673552,2.6736292372306294
1,89,352,352,1408,3904,11,16,0.0006905,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.737385,2.702062658603677
2,88,352,704,1408,3904,11,16,0.0006905,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.70273,2.6619433195819653
1,8,3528,3528,1408,3904,11,16,0.0006905,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.665433,2.620626862542517
3,8,2888,8664,1408,3904,11,16,0.0006905,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.634036,2.5865608001399285
1,89,352,352,1408,3904,11,16,0.0006905,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.610048,2.6783585878157044
2,88,352,704,1408,3904,11,16,0.0006905,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.566739,2.634307737049034
1,8,3528,3528,1408,3904,11,16,0.0006905,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.533986,2.6041085153791457
3,8,2888,8664,1408,3904,11,16,0.0006905,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.506561,2.577395289755181
1,89,352,352,1408,3904,11,16,0.0006905,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.664026,2.6690466603859018
2,88,352,704,1408,3904,11,16,0.0006905,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.61769,2.6245715493468937
1,8,3528,3528,1408,3904,11,16,0.0006905,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.591145,2.5990821487217017
3,8,2888,8664,1408,3904,11,16,0.0006905,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.574037,2.58174001936835
1,89,352,352,1408,3904,11,16,0.0006905,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.669763,2.685522952414391
2,88,352,704,1408,3904,11,16,0.0006905,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.628706,2.641751328447033
1,8,3528,3528,1408,3904,11,16,0.0006905,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.608928,2.6226876184407737
3,8,2888,8664,1408,3904,11,16,0.0006905,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.591455,2.605671038888416
1,89,352,352,1408,3904,11,16,0.0006905,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.736293,2.7372262293334706
2,88,352,704,1408,3904,11,16,0.0006905,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.696072,2.6973945243349755
1,8,3528,3528,1408,3904,11,16,0.0006905,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.675665,2.674726256962184
3,8,2888,8664,1408,3904,11,16,0.0006905,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.668088,2.668467164526853
1,89,352,352,1408,3904,11,16,0.0009766,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.750567,2.7112636814024267
2,88,352,704,1408,3904,11,16,0.0009766,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.712164,2.6732452912115297
