h,ffnh,numh,numl,lr,bs,ti,D,N,D/N,loss,smooth loss
960,9368,15,7,0.01105,2048,23841,100000000000,214663680,465.84499063837904,2.357582,2.366666891995782
1024,9552,16,8,0.01105,736,53074,80000000000,268304384,298.1688141182218,2.316568,2.327091182382099
1280,9472,10,10,0.0006905,2048,11920,50000000000,429260800,116.47930582061068,2.33012,2.323316763046171
960,9368,15,7,0.0004883,64,762939,100000000000,214663680,465.84499063837904,2.372163,2.3754484477187665
1024,9552,16,8,0.0009766,128,305175,80000000000,268304384,298.1688141182218,2.344496,2.320977355893318
1024,9552,16,8,0.003906,352,110973,80000000000,268304384,298.1688141182218,2.299618,2.309178876541533
1024,9552,16,8,0.005524,32,1220703,80000000000,268304384,298.1688141182218,2.462112,2.5418509687817354
960,9368,15,7,0.01105,192,254313,100000000000,214663680,465.84499063837904,2.435252,2.3973968395240584
1280,9472,10,10,0.007812,128,190734,50000000000,429260800,116.47930582061068,2.330669,2.3305299758536093
1024,9552,16,8,0.0004883,1024,38146,80000000000,268304384,298.1688141182218,2.345619,2.360083206093493
1024,9552,16,8,0.007812,64,610351,80000000000,268304384,298.1688141182218,2.458076,2.453937867810766
1024,9552,16,8,0.002762,736,53074,80000000000,268304384,298.1688141182218,2.298472,2.309350038723452
1024,9552,16,8,0.0002441,192,203450,80000000000,268304384,298.1688141182218,2.351321,2.349873050701603
960,9368,15,7,0.007812,1024,47683,100000000000,214663680,465.84499063837904,2.32848,2.342013841717418
960,9368,15,7,0.0003453,256,190734,100000000000,214663680,465.84499063837904,2.351857,2.3797198688794445
960,9368,15,7,0.002762,256,190734,100000000000,214663680,465.84499063837904,2.322484,2.3508951847274573
1024,9552,16,8,0.002762,352,110973,80000000000,268304384,298.1688141182218,2.298452,2.3074909930416627
1024,9552,16,8,0.002762,128,305175,80000000000,268304384,298.1688141182218,2.353748,2.3308832239119
1280,9472,10,10,0.002762,128,190734,50000000000,429260800,116.47930582061068,2.279382,2.277392771600305
1024,9552,16,8,0.002762,256,152587,80000000000,268304384,298.1688141182218,2.305749,2.3125994842689765
960,9368,15,7,0.01105,736,66342,100000000000,214663680,465.84499063837904,2.36737,2.3529222556832106
1280,9472,10,10,0.002762,64,381469,50000000000,429260800,116.47930582061068,2.406607,2.315722974188469
1280,9472,10,10,0.0002441,128,190734,50000000000,429260800,116.47930582061068,2.289623,2.291650931121152
1024,9552,16,8,0.0002441,352,110973,80000000000,268304384,298.1688141182218,2.350214,2.35883100714569
1024,9552,16,8,0.0002441,736,53074,80000000000,268304384,298.1688141182218,2.366571,2.377891065429441
1024,9552,16,8,0.0004883,512,76293,80000000000,268304384,298.1688141182218,2.331042,2.342816848606626
1024,9552,16,8,0.005524,128,305175,80000000000,268304384,298.1688141182218,2.375281,2.3512206141623087
960,9368,15,7,0.001381,736,66342,100000000000,214663680,465.84499063837904,2.371432,2.3569870108609954
960,9368,15,7,0.001381,352,138716,100000000000,214663680,465.84499063837904,2.344792,2.3513068847046688
960,9368,15,7,0.01105,352,138716,100000000000,214663680,465.84499063837904,2.368677,2.3739400775362283
1280,9472,10,10,0.003906,736,33171,50000000000,429260800,116.47930582061068,2.278567,2.268819640741277
1024,9552,16,8,0.001953,512,76293,80000000000,268304384,298.1688141182218,2.29918,2.310425611954184
960,9368,15,7,0.002762,64,762939,100000000000,214663680,465.84499063837904,2.391159,2.3938424018365803
1024,9552,16,8,0.001381,736,53074,80000000000,268304384,298.1688141182218,2.309886,2.3210198836918514
1280,9472,10,10,0.005524,192,127156,50000000000,429260800,116.47930582061068,2.304968,2.2924707916645533
1280,9472,10,10,0.001381,192,127156,50000000000,429260800,116.47930582061068,2.272504,2.2633651758667632
960,9368,15,7,0.0003453,2048,23841,100000000000,214663680,465.84499063837904,2.425806,2.433339382085948
1280,9472,10,10,0.0003453,736,33171,50000000000,429260800,116.47930582061068,2.318981,2.309440573697497
960,9368,15,7,0.0004883,2048,23841,100000000000,214663680,465.84499063837904,2.409234,2.41729526328266
960,9368,15,7,0.005524,512,95367,100000000000,214663680,465.84499063837904,2.347962,2.345460963512769
1024,9552,16,8,0.007812,352,110973,80000000000,268304384,298.1688141182218,2.314741,2.324811766354688
1024,9552,16,8,0.002762,32,1220703,80000000000,268304384,298.1688141182218,2.349471,2.424055955352097
960,9368,15,7,0.001953,512,95367,100000000000,214663680,465.84499063837904,2.349858,2.346910854084805
960,9368,15,7,0.0009766,512,95367,100000000000,214663680,465.84499063837904,2.362134,2.359547361115782
1024,9552,16,8,0.005524,256,152587,80000000000,268304384,298.1688141182218,2.317648,2.3238614333048173
1280,9472,10,10,0.0002441,1024,23841,50000000000,429260800,116.47930582061068,2.33001,2.3384288879470816
1024,9552,16,8,0.0003453,1024,38146,80000000000,268304384,298.1688141182218,2.359891,2.374015069664668
1280,9472,10,10,0.003906,352,69358,50000000000,429260800,116.47930582061068,2.272182,2.260766440199049
960,9368,15,7,0.001953,192,254313,100000000000,214663680,465.84499063837904,2.391704,2.3531544765676173
960,9368,15,7,0.005524,352,138716,100000000000,214663680,465.84499063837904,2.345856,2.351953590110084
