,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
133,[86.6414047],[0.01712134],[0.01980179],[0.78086011],[0.09196736],[0.02781611],[0.00624711],[0.01445681]
134,[85.66892495],[0.02802748],[0.03067819],[0.78329172],[0.07985075],[0.03860358],[0.00491833],[0.00922156]
135,[91.67624929],[0.01887206],[0.01647823],[0.77960259],[0.08652502],[0.01165622],[0.01253092],[0.01829486]
136,[92.54967473],[0.00962544],[0.00720905],[0.77752546],[0.09676495],[0.00234159],[0.0220735],[0.01740946]
137,[92.63544341],[0.00871744],[0.00629883],[0.77732149],[0.09777049],[0.00142691],[0.02301056],[0.0176349]
138,[92.0928776],[0.01446137],[0.01205678],[0.77861179],[0.09140952],[0.0072131],[0.01708278],[0.01476027]
139,[90.93048167],[0.02676721],[0.02439265],[0.78137613],[0.07778173],[0.01960944],[0.00438307],[0.01059504]
140,[91.73461276],[0.01825418],[0.01585885],[0.77946379],[0.08720926],[0.0110338],[0.01316857],[0.01898022]
141,[92.83180668],[0.00663861],[0.00421494],[0.77685451],[0.10007263],[0.0006672],[0.02515592],[0.01873479]
142,[93.05892907],[0.00423416],[0.00180461],[0.77631438],[0.10273538],[0.00308934],[0.02763734],[0.01796533]
143,[92.7530737],[0.00747213],[0.00505049],[0.77704175],[0.09914957],[0.00017245],[0.02429573],[0.01685133]
144,[91.88858445],[0.01662415],[0.01422483],[0.77909763],[0.08901441],[0.00939178],[0.01485078],[0.01392402]
145,[91.61387013],[0.01953244],[0.01714022],[0.77975094],[0.08579369],[0.01232146],[0.0118494],[0.0185844]
146,[92.87079445],[0.00622586],[0.00380118],[0.77676179],[0.10052972],[0.00108298],[0.02558188],[0.01891497]
147,[93.33393907],[0.00132273],[0.00111392],[0.77566037],[0.10595957],[0.00602218],[0.03064195],[0.01900779]
148,[93.1981055],[0.00276075],[0.00032761],[0.7759834],[0.10436707],[0.00457358],[0.02915791],[0.01926384]
149,[92.53225372],[0.00980987],[0.00739393],[0.77756689],[0.09656071],[0.00252738],[0.02188317],[0.01854273]
150,[91.35158215],[0.02230918],[0.01992374],[0.78037469],[0.08271866],[0.01511862],[0.00898378],[0.01832923]
151,[92.8335589],[0.00662006],[0.00419634],[0.77685034],[0.10009317],[0.00068588],[0.02517507],[0.0188181]
152,[93.41677942],[0.00044573],[0.00199306],[0.77546336],[0.10693078],[0.00690563],[0.03154702],[0.01998179]
153,[93.40724619],[0.00054666],[0.00189189],[0.77548603],[0.10681901],[0.00680396],[0.03144287],[0.02012044]
154,[92.91925918],[0.00571279],[0.00328685],[0.77664653],[0.10109791],[0.00159983],[0.02611138],[0.01887816]
155,[91.04073124],[0.02560004],[0.02322263],[0.78111394],[0.07907428],[0.01843369],[0.00558759],[0.01757465]
156,[92.71150383],[0.00791221],[0.00549164],[0.77714061],[0.09866221],[0.00061577],[0.02384156],[0.01989252]
157,[93.38697314],[0.00076128],[0.00167674],[0.77553424],[0.10658133],[0.00658776],[0.03122137],[0.02026807]
158,[93.42538354],[0.00035464],[0.00208437],[0.7754429],[0.10703165],[0.00699738],[0.03164103],[0.01946716]
159,[93.12692391],[0.00351432],[0.00108302],[0.77615268],[0.10353255],[0.00381447],[0.02838022],[0.01926327]
160,[90.55313245],[0.03076206],[0.02839724],[0.78227352],[0.07335773],[0.02363367],[0.00026035],[0.01857985]
161,[92.45788849],[0.01059714],[0.00818312],[0.77774374],[0.09568886],[0.00332045],[0.02107069],[0.01934179]
162,[93.19503743],[0.00279323],[0.00036017],[0.77599069],[0.1043311],[0.00454086],[0.02912439],[0.01867957]
163,[93.45000975],[9.39338362e-05],[0.00234571],[0.77538433],[0.10732037],[0.00726001],[0.03191008],[0.01980782]
164,[93.11060384],[0.00368709],[0.00125622],[0.77619149],[0.10334121],[0.00364042],[0.02820191],[0.0186061]
165,[90.00563273],[0.03655823],[0.03420756],[0.78357556],[0.06693891],[0.02947247],[0.00572134],[0.02082163]
166,[92.0548301],[0.01486417],[0.01246056],[0.77870227],[0.09096345],[0.00761885],[0.01666709],[0.01783613]
167,[93.05665404],[0.00425824],[0.00182875],[0.77631979],[0.10270871],[0.00306508],[0.02761248],[0.01715907]
168,[93.27554997],[0.00194087],[0.00049427],[0.77579922],[0.10527502],[0.00539949],[0.03000402],[0.01875151]
169,[92.81021301],[0.00686722],[0.0044441],[0.77690586],[0.09981947],[0.00043691],[0.02492],[0.01681596]
170,[88.91393561],[0.04811561],[0.04579313],[0.78617177],[0.05413999],[0.04111485],[0.01764863],[0.01978994]
171,[91.5127781],[0.02060266],[0.01821306],[0.77999135],[0.0846085],[0.01339955],[0.01074493],[0.01546153]
172,[92.91373658],[0.00577125],[0.00334546],[0.77665967],[0.10103317],[0.00154094],[0.02605105],[0.01874377]
173,[93.08385155],[0.00397031],[0.00154012],[0.77625511],[0.10302757],[0.00335512],[0.02790963],[0.01895428]
174,[92.54293162],[0.00969682],[0.00728061],[0.7775415],[0.09668589],[0.0024135],[0.02199983],[0.01799048]
175,[87.80783939],[0.05982543],[0.05753152],[0.78880222],[0.04117225],[0.05291079],[0.02973325],[0.01730345]
176,[90.70119736],[0.02919456],[0.02682591],[0.7819214],[0.07509363],[0.02205464],[0.00187803],[0.0156246]
177,[92.35036533],[0.01173545],[0.00932421],[0.77799945],[0.09442827],[0.00446712],[0.01989595],[0.02210952]
178,[92.35891321],[0.01164495],[0.00923349],[0.77797912],[0.09452848],[0.00437596],[0.01998934],[0.01899188]
179,[91.75373048],[0.01805179],[0.01565596],[0.77941833],[0.0874334],[0.01082992],[0.01337744],[0.01313715]
