,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
88,[0.8380952],[0.0094993],[0.00802373],[0.78280743],[0.09268641],[0.03742011],[0.0223154],[0.01173363]
89,[0.82554519],[0.01539124],[0.01472773],[0.77622801],[0.11506559],[0.00725376],[0.00844026],[0.01627738]
90,[0.82458334],[0.02098956],[0.02032239],[0.77499425],[0.12121346],[0.00178029],[0.01400025],[0.01389702]
91,[0.82513708],[0.01776658],[0.01710152],[0.77570453],[0.11767411],[0.00493139],[0.01079934],[0.01084976]
92,[0.8265293],[0.00966339],[0.00900362],[0.77749032],[0.10877548],[0.01285387],[0.00275162],[0.00708975]
93,[0.82924966],[0.00617014],[0.00681956],[0.78097971],[0.09138767],[0.02833428],[0.01297352],[0.00819125]
94,[0.82488796],[0.01921655],[0.01855054],[0.77538499],[0.11926641],[0.00351376],[0.01223938],[0.01913794]
95,[0.82376638],[0.02574455],[0.02507427],[0.77394635],[0.12643522],[0.00286865],[0.01872269],[0.0148857]
96,[0.82393771],[0.02474736],[0.02407774],[0.77416611],[0.12534014],[0.0018937],[0.01773233],[0.01169724]
97,[0.8247839],[0.01982221],[0.0191558],[0.77525152],[0.11993152],[0.00292161],[0.0128409],[0.0089406]
98,[0.82656572],[0.00945138],[0.00879175],[0.77753704],[0.10854265],[0.01306115],[0.00254106],[0.00083648]
99,[0.82502249],[0.01843357],[0.01776807],[0.77555754],[0.11840657],[0.00427928],[0.01146176],[0.01759496]
100,[0.82348335],[0.02739192],[0.02672057],[0.7735833],[0.12824431],[0.00447929],[0.02035879],[0.0141883]
101,[0.82310071],[0.02961904],[0.02894623],[0.77309249],[0.13069004],[0.00665673],[0.02257066],[0.01237312]
102,[0.82361832],[0.02660636],[0.02593552],[0.77375642],[0.12738163],[0.00371125],[0.01957861],[0.01019844]
103,[0.82483628],[0.01951735],[0.01885114],[0.7753187],[0.11959674],[0.00321967],[0.01253813],[0.00370971]
104,[0.82507966],[0.01810082],[0.01743554],[0.77563087],[0.11804116],[0.0046046],[0.0111313],[0.01871842]
105,[0.82303779],[0.02998524],[0.02931219],[0.77301179],[0.13109219],[0.00701477],[0.02293435],[0.01683796]
106,[0.82265321],[0.03222362],[0.03154911],[0.77251849],[0.1335503],[0.00920323],[0.02515741],[0.01259553]
107,[0.82261543],[0.03244354],[0.03176889],[0.77247002],[0.13379181],[0.00941825],[0.02537583],[0.0129397]
108,[0.82357547],[0.02685573],[0.02618473],[0.77370147],[0.12765548],[0.00395505],[0.01982627],[0.00842102]
109,[0.82555274],[0.01534732],[0.01468384],[0.77623769],[0.11501737],[0.0072967],[0.00839665],[0.01898761]
110,[0.82293265],[0.03059718],[0.02992373],[0.77287693],[0.1317642],[0.00761306],[0.02354211],[0.01746759]
111,[0.82233749],[0.03406123],[0.03338552],[0.77211352],[0.13556829],[0.01099985],[0.02698244],[0.01506388]
112,[0.82264398],[0.03227738],[0.03160283],[0.77250664],[0.13360933],[0.00925579],[0.0252108],[0.01218334]
113,[0.82267024],[0.03212449],[0.03145004],[0.77254034],[0.13344143],[0.00910631],[0.02505896],[0.01321713]
