N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,loss
93940416,35842752,16777216000,9456351902178213888,3608049554037669888,9456351902171136000,3608049554030592000,1.0,16777216000,16000,16000,125,125,0.002,3.287519883364439
57234240,12047168,134217728,46091097945145344,9701661112270848,46091097939640320,9701661106765824,0.64,134217728,200,128,2,1,0.002,5.884496629238129
57234240,12047168,209715200,72017340536193024,15158845484826624,72017340530688000,15158845479321600,1.0,209715200,200,200,2,2,0.002,5.562278985977173
57234240,12047168,134217728,46091097945145344,9701661112270848,46091097939640320,9701661106765824,0.512,134217728,250,128,2,1,0.002,5.892287431051955
57234240,12047168,262144000,90021675668865024,18948556854657024,90021675663360000,18948556849152000,1.0,262144000,250,250,2,2,0.002,5.342585165519267
57234240,12047168,134217728,46091097945145344,9701661112270848,46091097939640320,9701661106765824,0.64,134217728,200,128,2,1,0.004,5.852805073140189
57234240,12047168,209715200,72017340536193024,15158845484826624,72017340530688000,15158845479321600,1.0,209715200,200,200,2,2,0.004,5.463137998944148
57234240,12047168,134217728,46091097945145344,9701661112270848,46091097939640320,9701661106765824,0.64,134217728,200,128,2,1,0.008,5.9137771690730006
57234240,12047168,209715200,72017340536193024,15158845484826624,72017340530688000,15158845479321600,1.0,209715200,200,200,2,2,0.008,5.507163620553911
57234240,12047168,134217728,46091097945145344,9701661112270848,46091097939640320,9701661106765824,0.512,134217728,250,128,2,1,0.008,5.94113314547576
57234240,12047168,262144000,90021675668865024,18948556854657024,90021675663360000,18948556849152000,1.0,262144000,250,250,2,2,0.008,5.265927888453007
57234240,12047168,134217728,46091097945145344,9701661112270848,46091097939640320,9701661106765824,0.512,134217728,250,128,2,1,0.004,5.841766122728586
57234240,12047168,262144000,90021675668865024,18948556854657024,90021675663360000,18948556849152000,1.0,262144000,250,250,2,2,0.004,5.203594068298116
113718400,49165440,134217728,91578151686635520,39593241925386240,91578151678771200,39593241917521920,0.008,134217728,16000,128,125,1,0.004,5.973135758657008
113718400,49165440,268435456,183156303365406720,79186483842908160,183156303357542400,79186483835043840,0.016,268435456,16000,256,125,2,0.004,5.144296779297292
113718400,49165440,402653184,274734455044177920,118779725760430080,274734455036313600,118779725752565760,0.024,402653184,16000,384,125,3,0.004,4.584912966471165
113718400,49165440,536870912,366312606722949120,158372967677952000,366312606715084800,158372967670087680,0.032,536870912,16000,512,125,4,0.004,4.245265805628151
113718400,49165440,671088640,457890758401720320,197966209595473920,457890758393856000,197966209587609600,0.04,671088640,16000,640,125,5,0.004,4.076268050586805
113718400,49165440,805306368,549468910080491520,237559451512995840,549468910072627200,237559451505131520,0.048,805306368,16000,768,125,6,0.004,3.9562792105134577
113718400,49165440,939524096,641047061759262720,277152693430517760,641047061751398400,277152693422653440,0.056,939524096,16000,896,125,7,0.004,3.8794447602704167
113718400,49165440,1073741824,732625213438033920,316745935348039680,732625213430169600,316745935340175360,0.064,1073741824,16000,1024,125,8,0.004,3.845559323206544
113718400,49165440,1207959552,824203365116805120,356339177265561600,824203365108940800,356339177257697280,0.072,1207959552,16000,1152,125,9,0.004,3.783199159195647
113718400,49165440,1342177280,915781516795576320,395932419183083520,915781516787712000,395932419175219200,0.08,1342177280,16000,1280,125,10,0.004,3.7541530523449183
113718400,49165440,1476395008,1007359668474347520,435525661100605440,1007359668466483200,435525661092741120,0.088,1476395008,16000,1408,125,11,0.004,3.722180726006627
113718400,49165440,1610612736,1098937820153118720,475118903018127360,1098937820145254400,475118903010263040,0.096,1610612736,16000,1536,125,12,0.004,3.689565970096737
113718400,49165440,1744830464,1190515971831889920,514712144935649280,1190515971824025600,514712144927784960,0.104,1744830464,16000,1664,125,13,0.004,3.669845780590549
113718400,49165440,1879048192,1282094123510661120,554305386853171200,1282094123502796800,554305386845306880,0.112,1879048192,16000,1792,125,14,0.004,3.647228204179555
113718400,49165440,2013265920,1373672275189432320,593898628770693120,1373672275181568000,593898628762828800,0.12,2013265920,16000,1920,125,15,0.004,3.629413581220433
113718400,49165440,2147483648,1465250426868203520,633491870688215040,1465250426860339200,633491870680350720,0.128,2147483648,16000,2048,125,16,0.004,3.6131128224078566
113718400,49165440,2281701376,1556828578546974720,673085112605736960,1556828578539110400,673085112597872640,0.136,2281701376,16000,2176,125,17,0.004,3.601395182777196
113718400,49165440,2415919104,1648406730225745920,712678354523258880,1648406730217881600,712678354515394560,0.144,2415919104,16000,2304,125,18,0.004,3.5901459159795195
113718400,49165440,2550136832,1739984881904517120,752271596440780800,1739984881896652800,752271596432916480,0.152,2550136832,16000,2432,125,19,0.004,3.5896083142142743
113718400,49165440,2684354560,1831563033583288320,791864838358302720,1831563033575424000,791864838350438400,0.16,2684354560,16000,2560,125,20,0.004,3.561313338112086
113718400,49165440,2818572288,1923141185262059520,831458080275824640,1923141185254195200,831458080267960320,0.168,2818572288,16000,2688,125,21,0.004,3.55433479277417
113718400,49165440,2952790016,2014719336940830720,871051322193346560,2014719336932966400,871051322185482240,0.176,2952790016,16000,2816,125,22,0.004,3.5425466916058213
113718400,49165440,3087007744,2106297488619601920,910644564110868480,2106297488611737600,910644564103004160,0.184,3087007744,16000,2944,125,23,0.004,3.53453497053124
113718400,49165440,3221225472,2197875640298373120,950237806028390400,2197875640290508800,950237806020526080,0.192,3221225472,16000,3072,125,24,0.004,3.524434563005343
113718400,49165440,3355443200,2289453791977144320,989831047945912320,2289453791969280000,989831047938048000,0.2,3355443200,16000,3200,125,25,0.004,3.523986911168322
113718400,49165440,3489660928,2381031943655915520,1029424289863434240,2381031943648051200,1029424289855569920,0.208,3489660928,16000,3328,125,26,0.004,3.51090926094912
113718400,49165440,3623878656,2472610095334686720,1069017531780956160,2472610095326822400,1069017531773091840,0.216,3623878656,16000,3456,125,27,0.004,3.503347369842232
113718400,49165440,3758096384,2564188247013457920,1108610773698478080,2564188247005593600,1108610773690613760,0.224,3758096384,16000,3584,125,28,0.004,3.4979535278398544
113718400,49165440,3892314112,2655766398692229120,1148204015616000000,2655766398684364800,1148204015608135680,0.232,3892314112,16000,3712,125,29,0.004,3.4920842819847167
113718400,49165440,4026531840,2747344550371000320,1187797257533521920,2747344550363136000,1187797257525657600,0.24,4026531840,16000,3840,125,30,0.004,3.4838425882626325
113718400,49165440,4160749568,2838922702049771520,1227390499451043840,2838922702041907200,1227390499443179520,0.248,4160749568,16000,3968,125,31,0.004,3.477816251339391
113718400,49165440,4294967296,2930500853728542720,1266983741368565760,2930500853720678400,1266983741360701440,0.256,4294967296,16000,4096,125,32,0.004,3.4761466062627733
113718400,49165440,4429185024,3022079005407313920,1306576983286087680,3022079005399449600,1306576983278223360,0.264,4429185024,16000,4224,125,33,0.004,3.4694906640797853
113718400,49165440,4563402752,3113657157086085120,1346170225203609600,3113657157078220800,1346170225195745280,0.272,4563402752,16000,4352,125,34,0.004,3.465250863926485
113718400,49165440,4697620480,3205235308764856320,1385763467121131520,3205235308756992000,1385763467113267200,0.28,4697620480,16000,4480,125,35,0.004,3.4611562360078096
113718400,49165440,4831838208,3296813460443627520,1425356709038653440,3296813460435763200,1425356709030789120,0.288,4831838208,16000,4608,125,36,0.004,3.458026522770524
113718400,49165440,4966055936,3388391612122398720,1464949950956175360,3388391612114534400,1464949950948311040,0.296,4966055936,16000,4736,125,37,0.004,3.4491933030076325
113718400,49165440,5100273664,3479969763801169920,1504543192873697280,3479969763793305600,1504543192865832960,0.304,5100273664,16000,4864,125,38,0.004,3.442339925793931
113718400,49165440,5234491392,3571547915479941120,1544136434791219200,3571547915472076800,1544136434783354880,0.312,5234491392,16000,4992,125,39,0.004,3.443499932065606
113718400,49165440,5368709120,3663126067158712320,1583729676708741120,3663126067150848000,1583729676700876800,0.32,5368709120,16000,5120,125,40,0.004,3.437465912895277
113718400,49165440,5502926848,3754704218837483520,1623322918626263040,3754704218829619200,1623322918618398720,0.328,5502926848,16000,5248,125,41,0.004,3.430745190475136
113718400,49165440,5637144576,3846282370516254720,1662916160543784960,3846282370508390400,1662916160535920640,0.336,5637144576,16000,5376,125,42,0.004,3.426665053004399
113718400,49165440,5771362304,3937860522195025920,1702509402461306880,3937860522187161600,1702509402453442560,0.344,5771362304,16000,5504,125,43,0.004,3.4234012607485056
113718400,49165440,5905580032,4029438673873797120,1742102644378828800,4029438673865932800,1742102644370964480,0.352,5905580032,16000,5632,125,44,0.004,3.420957433059812
113718400,49165440,6039797760,4121016825552568320,1781695886296350720,4121016825544704000,1781695886288486400,0.36,6039797760,16000,5760,125,45,0.004,3.418535491684452
