IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
2.660726514,1.657483212,1.538739922,1.82698645,0.568840487,0.542926594,0.551627604,0.554507981,2.674853593,1.56955342,1.322977987,1.69528029,0.574242547,0.517352074,0.530463812,0.540771378,0.982768339,1.041727366,2049_sc,1280,3472,20,20,0.0028,416,75120,2.228743,2.231659273,2.369373,-1,75119,2048,63999836160,397772800,3015475200,3.518744623,160,2.54574E+19,1.93E+20,397772800,565544960,3.518744623,160,2.54574E+19
2.579890432,1.618077159,1.499990545,1.77834271,0.563422617,0.537152061,0.546220428,0.548975807,2.589361989,1.528012788,1.287553873,1.646796681,0.56859506,0.511812899,0.525101438,0.535255214,0.96080234,1.019688201,2049_sc,1280,3472,20,20,0.00311,512,86316,2.208365,2.205606807,1.483899,-1,86315,2048,90508886016,397772800,3015475200,3.518744623,227,3.6002E+19,2.73E+20,397772800,565544960,3.518744623,227,3.6002E+19
2.529820961,1.582620757,1.464440312,1.739456529,0.559011346,0.532811036,0.542624698,0.544861005,2.538281089,1.492146919,1.254947217,1.609128962,0.564081777,0.507509081,0.521325775,0.531058291,0.94379132,1.002259783,2049_sc,1280,3472,20,20,0.00346,624,100160,2.187972,2.188788358,1.802977,-1,100159,2048,1.28E+11,397772800,3015475200,3.518744623,321,5.09148E+19,3.86E+20,397772800,565544960,3.518744623,321,5.09148E+19
3.944595908,2.387724744,2.306541441,2.705086366,0.681602309,0.653591287,0.654624342,0.663304814,4.014436935,2.318732046,2.005409775,2.54585044,0.690636717,0.628837278,0.634575329,0.651427906,1.376696454,1.445082719,2049_sc,1280,3472,20,20,0.000963,56,17438,2.608667,2.660845065,0.364701,-1,17437,2048,1999929344,397772800,3015475200,3.518744623,5,7.95517E+17,6.03E+18,397772800,565544960,3.518744623,5,7.95517E+17
3.414030335,2.095191752,1.956649117,2.32726644,0.624040166,0.598272137,0.602534271,0.608317482,3.457402988,2.016426607,1.703954974,2.185072707,0.631247116,0.572741946,0.581963838,0.595398042,1.203995656,1.266485989,2049_sc,1472,3888,23,22,0.00103,104,26558,2.450968,2.439251122,0.918596,-1,26557,2048,5656641536,568468736,4206292992,3.518744623,9,3.21562E+18,2.38E+19,568468736,761406720,3.518744623,9,3.21562E+18
3.26458749,2.001908498,1.868715608,2.223811152,0.611269247,0.585228345,0.590728113,0.595779618,3.302254455,1.920222085,1.622868668,2.083200806,0.617976703,0.559745223,0.569939228,0.582635476,1.157118105,1.219136745,2049_sc,1472,3888,23,22,0.00114,128,30517,2.426443,2.392550788,1.111494,-1,30516,2048,7999848448,568468736,4206292992,3.518744623,14,4.54766E+18,3.36E+19,568468736,761406720,3.518744623,14,4.54766E+18
3.128785111,1.909308134,1.795371627,2.131364012,0.59884792,0.573126964,0.579807072,0.583966718,3.160757897,1.82797071,1.555296394,1.992563731,0.6051901,0.547641442,0.558893389,0.570657778,1.115026126,1.176449795,2049_sc,1472,3888,23,22,0.00127,152,36343,2.363467,2.346240225,1.554771,-1,36342,2048,11313430528,568468736,4206292992,3.518744623,19,6.43133E+18,4.76E+19,568468736,761406720,3.518744623,19,6.43133E+18
2.992356821,1.842514424,1.72399383,2.046046725,0.588528398,0.563214525,0.570288842,0.574050224,3.01926254,1.757263899,1.491056653,1.908890947,0.594532036,0.537395417,0.549339523,0.560505847,1.076727168,1.137663085,2049_sc,1472,3888,23,22,0.00142,192,40690,2.317869,2.30548969,1.649583,-1,40689,2048,15999959040,568468736,4206292992,3.518744623,28,9.09548E+18,6.73E+19,568468736,761406720,3.518744623,28,9.09548E+18
2.890232875,1.789292213,1.650618567,1.970893104,0.579258132,0.554162766,0.561753796,0.565098519,2.911671885,1.702494499,1.429932818,1.838555031,0.58501984,0.528431335,0.540627735,0.55144298,1.044206274,1.103363323,2049_sc,1472,3888,23,22,0.00157,232,47623,2.241323,2.27011682,2.363864,-1,47622,2048,22627401728,568468736,4206292992,3.518744623,39,1.2863E+19,9.52E+19,568468736,761406720,3.518744623,39,1.2863E+19
2.768653872,1.705974726,1.589435611,1.890388285,0.570435353,0.5455204,0.554012049,0.556697576,2.7866421,1.620167228,1.370639077,1.758488266,0.575857893,0.519837319,0.532749283,0.542898763,1.008280069,1.067354521,2049_sc,1472,3888,23,22,0.00175,280,55803,2.229578,2.234795655,2.44537,-1,55802,2048,31999672320,568468736,4206292992,3.518744623,56,1.81908E+19,1.35E+20,568468736,761406720,3.518744623,56,1.81908E+19
2.69072411,1.668508666,1.539867454,1.837185044,0.563316374,0.538692069,0.546973314,0.54970155,2.703765502,1.580213093,1.328038114,1.707211062,0.568533961,0.512859892,0.525730073,0.535791453,0.984262574,1.042666211,2049_sc,1472,3888,23,22,0.00195,344,64235,2.210207,2.210262249,3.489093,-1,64234,2048,45254328320,568468736,4206292992,3.518744623,79,2.57257E+19,1.90E+20,568468736,761406720,3.518744623,79,2.57257E+19
2.605884643,1.619256962,1.504186195,1.786851803,0.557164568,0.531814547,0.540995932,0.543368316,2.616916802,1.530010155,1.293440797,1.656755339,0.562188207,0.506221156,0.519648914,0.529437508,0.961024523,1.01948581,2049_sc,1472,3888,23,22,0.00217,416,75120,2.181645,2.182966875,1.80947,-1,75119,2048,63999836160,568468736,4206292992,3.518744623,112,3.63819E+19,2.69E+20,568468736,761406720,3.518744623,112,3.63819E+19
2.529287171,1.580744081,1.457456403,1.73519932,0.551191444,0.525983347,0.535287144,0.537530669,2.537724587,1.490586119,1.251563772,1.60683999,0.556005166,0.500372525,0.513969833,0.523533842,0.938271242,0.996106117,2049_sc,1472,3888,23,22,0.00241,512,86316,2.160336,2.15534713,2.194889,-1,86315,2048,90508886016,568468736,4206292992,3.518744623,159,5.14515E+19,3.81E+20,568468736,761406720,3.518744623,159,5.14515E+19
2.490969378,1.547393339,1.422056713,1.699619926,0.546510145,0.521083146,0.530864423,0.532863655,2.497445913,1.45594223,1.221397069,1.573252064,0.551193816,0.495646818,0.509594526,0.518896888,0.922550579,0.979603059,2049_sc,1472,3888,23,22,0.00268,608,102796,2.137636,2.137103805,1.607794,-1,102795,2048,1.28E+11,568468736,4206292992,3.518744623,225,7.2764E+19,5.38E+20,568468736,761406720,3.518744623,225,7.2764E+19
3.887675653,2.357949601,2.261246211,2.660853882,0.671930713,0.644362202,0.645979049,0.654123347,3.954794912,2.288020192,1.969320764,2.505613245,0.680662077,0.619711112,0.625816729,0.642141124,1.355560488,1.422480566,2049_sc,1472,3888,23,22,0.000747,56,17438,2.565452,2.62239552,0.529743,-1,17437,2048,1999929344,568468736,4206292992,3.518744623,3,1.1369E+18,8.41E+18,568468736,761406720,3.518744623,3,1.1369E+18
