step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
30000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.9863567300010967
40000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.944189470716311
50000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.916683635907958
60000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8901176360019423
70000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.873482558230604
80000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8517097163264986
90000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.841026926269952
100000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8175310537115648
110000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.8086339499694555
120000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.79021318588368
130000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.7750505161260004
140000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.771761093967826
150000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.756222490249213
160000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.749361695462164
170000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.731818110618568
180000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.726335740354944
190000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.711580332388277
200000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.7019000328942218
210000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.6834479409783683
220000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.683729891449069
230000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.670321580175749
240000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.666562240566407
249000,512,512,8,8,64,1.0,1,Hash,42,0.5,4314906624.0,27279360.0,73482595467264.0,130000000000,2.666405601416018
0,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,10.86424084835764
10000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.777141648783697
20000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.6247121755611595
30000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.556613304929434
40000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.518076157954919
50000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.4947173446531226
60000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.4690637677981235
70000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.4509171222255293
80000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.4297630049654613
90000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.4151720681067026
100000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.399931078773829
110000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.387838536363778
120000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.374183518428596
130000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.3618912611018
140000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.3527200388465093
150000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.331379912595354
160000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.3319849313137326
170000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.31556131639542
180000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.2973990069077863
190000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.286070080355884
200000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.2809068623611783
210000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.270879998746887
220000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.263282999953008
230000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.2587052207828826
240000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.252854748515844
249000,1,2048,24,16,128,1.0,1,Dense,42,0.5,1308819456.0,1308819456.0,1759063985618944.0,130000000000,2.247991102896258
0,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,10.83974248523676
10000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.66812080011278
20000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.499663225826663
30000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4276562083927256
40000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.367831800880312
50000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.3368799047633964
60000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.3093779859338044
70000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.289063846117698
80000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.266527388355445
90000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.247640622797262
100000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.2328362650960982
110000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.218331479770053
120000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.201582838614683
130000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.1918907911843486
140000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.174460769724785
150000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.1538588054698398
160000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.133290127034351
170000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.113255979699566
180000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.1000826271518305
190000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.086378659482151
200000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.0742919910402406
210000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.060186635547689
220000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.047669209442208
230000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.041626854215943
240000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.032439968045613
249000,64,2048,24,16,128,1.0,1,S-Base,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.029501025986435
0,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,10.815902006547516
10000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.7131819677010074
20000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.560298240942341
30000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4827696934571826
40000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4392827493303675
50000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.412669757679234
60000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.376576181450792
70000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.352872762018139
80000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.336155448692846
90000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.3210045268714463
100000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.304933350041509
110000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.279898497830548
120000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.2749878604658447
130000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.2523260913832805
140000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.234567127707899
150000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.2251374508544663
160000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.208858727150264
