step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
160000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5366790341259726
170000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.523566102291762
180000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.511280917395991
190000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.5000483315200404
200000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4923720476385114
210000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4788766462395717
220000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4713359335553364
230000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4632636931167
240000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4588373110568797
249000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.4551538907155392
0,512,2048,24,16,128,1.0,1,Hash,42,0.5,207077179392.0,1308819456.0,1772258125152256.0,130000000000,10.775647575998011
10000,512,2048,24,16,128,1.0,1,Hash,42,0.5,207077179392.0,1308819456.0,1772258125152256.0,130000000000,2.9209858352768627
20000,512,2048,24,16,128,1.0,1,Hash,42,0.5,207077179392.0,1308819456.0,1772258125152256.0,130000000000,2.7917013170918388
